::ffff:127.0.0.1 - - [20/Sep/2020:02:17:48 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:17:52 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:18:32 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:18:36 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:18:38 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:18:43 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:18:49 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:18:53 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:19:00 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:19:04 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:20:04 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:20:09 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:20:19 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:20:27 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:20:36 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:22:35 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:23:44 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
